day,alarm (%H:%M:%S)
5,03:01:41
6,05:54:00
11,06:55:47
12,08:12:44
15,07:53:04
17,07:12:08
19,08:27:29
20,09:11:42
21,08:01:05
24,09:27:40
25,08:57:27
27,07:24:55
30,10:10:14
32,11:27:14
34,10:19:43
35,08:59:32
36,11:12:02
37,09:35:03
38,10:42:30
41,12:35:35
43,10:51:33
46,10:18:27
55,12:45:34
56,11:05:31
61,12:26:01
62,11:28:12
67,13:34:41
72,11:08:56
74,12:45:42
75,13:09:19
76,12:48:46
78,13:40:32
80,13:09:33
87,12:36:06
90,12:17:06
96,13:48:00
99,15:30:56
104,13:44:61
105,13:35:15
107,15:27:21
110,14:34:46
111,15:20:52
114,14:29:33
116,14:07:51
119,14:21:50
121,13:52:54
123,13:42:18
129,13:28:02
131,14:27:41
134,15:50:53
136,14:50:16
141,14:47:54
142,13:25:07
145,14:57:00
148,14:35:22
149,14:30:20
154,14:36:39
155,15:36:19
157,15:26:35
158,15:16:00
159,16:19:34
160,14:36:58
166,14:09:16
167,13:51:20
181,15:56:43
182,15:14:52
185,16:24:13
187,13:54:54
188,14:13:47
191,15:37:39
192,14:20:15
197,15:39:29
198,16:13:31
199,16:47:48
207,15:04:04
208,16:20:51
212,15:50:20
214,17:37:13
215,16:12:25
216,17:27:12
218,16:20:02
219,15:41:36
220,15:17:39
221,16:00:52
223,15:39:26
225,16:47:00
226,16:58:44
228,15:06:26
230,15:24:28
236,16:52:31
237,17:15:12
238,15:55:45
240,16:59:36
241,15:49:01
243,16:00:09
250,15:55:13
251,16:26:04
252,16:30:08
253,16:25:37
255,14:49:33
260,15:31:35
261,17:10:40
264,15:51:22
266,16:09:26
268,14:54:41
275,18:02:50
279,16:31:21
280,15:51:07
284,15:23:34
288,17:06:09
290,17:41:32
291,15:54:08
292,16:43:42
295,17:27:30
297,16:43:23
298,16:51:19
301,16:26:59
305,16:04:43
306,17:52:27
312,15:31:13
316,16:29:43
317,17:23:18
321,16:41:16
323,18:45:60
324,16:17:26
325,16:28:06
328,16:18:27
332,16:18:13
335,19:05:13
337,16:34:10
339,17:52:24
345,16:05:56
346,17:38:23
351,17:04:13
354,18:50:46
